Neighbourhood Id,Neighbourhood,Total_AVG,Population,Debt Risk Score,Home Prices,Social Assistance Recipients_11,count16,count17,count
1,West Humber-Clairville,822,36570,719,317508,2912,18.166666666666668,19.75,20.09090909090909
2,Mount Olive-Silverstone-Jamestown,456,33484,687,251119,6561,17.0,19.5,19.636363636363637
3,Thistletown-Beaumond Heights,120,16039,718,414216,1276,16.75,19.833333333333332,20.727272727272727
4,Rexdale-Kipling,128,6862,721,392271,1323,17.166666666666668,19.0,19.90909090909091
5,Elms-Old Rexdale,112,3517,692,233832,1683,17.916666666666668,19.166666666666668,20.363636363636363
6,Kingsview Village-The Westway,226,14306,717,292861,4348,17.333333333333332,20.75,21.09090909090909
7,Willowridge-Martingrove-Richview,218,27469,750,511637,2032,18.25,20.083333333333332,20.09090909090909
8,Humber Heights-Westmount,106,14169,753,491396,856,17.833333333333332,19.833333333333332,19.90909090909091
9,Edenbridge-Humber Valley,96,11593,761,873268,751,18.333333333333332,21.5,19.727272727272727
10,Princess-Rosethorn,75,8588,791,971668,299,18.0,18.333333333333332,20.454545454545453
11,Eringate-Centennial-West Deane,143,7258,775,423034,775,0.0,0.0,0.0
12,Markland Wood,59,17465,783,505350,239,0.0,0.0,0.0
13,Etobicoke West Mall,93,4354,738,298426,1091,16.75,20.5,19.454545454545453
14,Islington-City Centre West,501,56701,755,491678,2534,19.0,19.5,21.0
15,Kingsway South,92,5175,793,941223,74,17.833333333333332,20.25,19.272727272727273
16,Stonegate-Queensway,189,22207,760,690949,1593,18.833333333333332,21.166666666666668,20.727272727272727
17,Mimico,371,28917,741,429941,2634,19.25,19.833333333333332,20.272727272727273
18,New Toronto,171,8545,719,460811,1600,17.583333333333332,20.916666666666668,19.727272727272727
19,Long Branch,110,14073,724,459088,1024,16.75,20.916666666666668,19.90909090909091
20,Alderwood,92,9271,764,504233,516,17.583333333333332,18.5,19.545454545454547
21,Humber Summit,307,14188,715,354381,1659,17.166666666666668,18.916666666666668,18.545454545454547
22,Humbermede,187,6029,695,314721,2590,18.083333333333332,19.833333333333332,20.272727272727273
23,Pelmo Park-Humberlea,130,24883,735,412618,798,17.833333333333332,19.166666666666668,20.09090909090909
24,Black Creek,407,17241,661,235143,6408,18.5,21.0,19.636363636363637
25,Glenfield-Jane Heights,396,26132,678,304262,7263,18.166666666666668,21.0,19.454545454545453
26,Downsview-Roding-CFB,576,26915,692,400486,5618,17.833333333333332,19.916666666666668,19.636363636363637
27,York University Heights,636,36764,698,359372,4720,19.0,20.25,20.181818181818183
28,Rustic,143,7525,692,493442,1924,18.416666666666668,19.5,19.0
29,Maple Leaf,90,16410,721,540741,919,17.666666666666668,19.166666666666668,19.90909090909091
30,Brookhaven-Amesbury,164,18816,687,352428,3420,18.0,22.166666666666668,19.90909090909091
31,Yorkdale-Glen Park,303,18233,729,421045,1502,17.666666666666668,20.083333333333332,20.272727272727273
32,Englemount-Lawrence,176,23568,730,577889,2733,17.416666666666668,19.5,19.454545454545453
33,Clanton Park,146,20575,740,605585,734,17.083333333333332,20.083333333333332,18.90909090909091
